$GPGGA,213447.000,4433.9978343,N,12317.6137770,W,0,00,0.0,47.330,M,0.000,M,,0000*45
$GPGGA,214306.000,4433.9958112,N,12317.6151913,W,5,11,1.0,77.506,M,-23.500,M,,0000*52
$GPGGA,220451.000,4433.9959103,N,12317.6152835,W,5,11,1.1,77.084,M,-23.500,M,,0000*59
$GPGGA,000447.000,4433.9977656,N,12317.6165272,W,0,00,0.0,51.790,M,0.000,M,,0000*42
$GPGGA,001946.000,4433.9958339,N,12317.6156462,W,4,10,1.0,77.284,M,-23.500,M,,0000*50
$GPGGA,003451.000,4433.9958313,N,12317.6156570,W,4,13,1.0,77.309,M,-23.500,M,,0000*54
$GPGGA,013816.000,4433.9974905,N,12317.6166991,W,0,00,0.0,52.220,M,0.000,M,,0000*4A
$GPGGA,020821.000,4433.9953644,N,12317.6158226,W,5,15,0.9,77.382,M,-23.500,M,,0000*54
$GPGGA,040947.000,4433.9940528,N,12317.6175929,W,0,00,0.0,50.720,M,0.000,M,,0000*4B
$GPGGA,043951.000,4433.9953589,N,12317.6158163,W,5,13,1.0,77.402,M,-23.500,M,,0000*56
$GPGGA,064047.000,4433.9961154,N,12317.6174210,W,0,00,0.0,53.650,M,0.000,M,,0000*4D
$GPGGA,065222.000,4433.9953686,N,12317.6156901,W,5,18,0.8,77.366,M,-23.500,M,,0000*54
$GPGGA,065223.000,4433.9953695,N,12317.6156877,W,5,18,0.8,77.358,M,-23.500,M,,0000*5A
$GPGGA,071051.000,4433.9953537,N,12317.6157607,W,5,19,0.7,77.410,M,-23.500,M,,0000*5E
$GPGGA,083608.000,4433.9956685,N,12317.6158741,W,0,00,0.0,51.950,M,0.000,M,,0000*44
$GPGGA,090612.000,4433.9953683,N,12317.6158272,W,4,16,0.8,77.383,M,-23.500,M,,0000*59
$GPGGA,110647.000,4433.9955310,N,12317.6158053,W,0,00,0.0,57.470,M,0.000,M,,0000*43
$GPGGA,113651.000,4433.9953558,N,12317.6158405,W,4,13,0.9,77.386,M,-23.500,M,,0000*56
$GPGGA,133747.000,4433.9961498,N,12317.6156678,W,0,00,0.0,55.290,M,0.000,M,,0000*48
$GPGGA,140751.000,4433.9953662,N,12317.6158208,W,5,12,1.1,77.392,M,-23.500,M,,0000*5C
$GPGGA,141545.000,4433.9951873,N,12317.6173179,W,0,00,0.0,52.840,M,0.000,M,,0000*46
$GPGGA,141816.000,4433.9948935,N,12317.6175854,W,5,14,0.9,77.152,M,-23.500,M,,0000*5B
$GPGGA,144550.000,4433.9953822,N,12317.6158973,W,5,14,0.8,77.459,M,-23.500,M,,0000*58
$GPGGA,164547.000,4433.9946716,N,12317.6162522,W,0,00,0.0,50.730,M,0.000,M,,0000*49
$GPGGA,171318.000,4433.9953758,N,12317.6158220,W,4,16,0.8,77.336,M,-23.500,M,,0000*56
$GPGGA,171551.000,4433.9953718,N,12317.6158251,W,5,18,0.8,77.331,M,-23.500,M,,0000*57
